
2022/03/31 (12:08:58) | ===> btop++ v.1.2.5
2022/06/12 (19:23:41) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/12 (19:36:02) | ===> btop++ v.1.2.7
2022/06/12 (19:36:02) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/12 (19:37:50) | ===> btop++ v.1.2.7
2022/06/12 (19:37:50) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/06/12 (19:37:52) | WARNING: Failed to join _runner thread on exit!

2022/06/13 (17:28:35) | ===> btop++ v.1.2.7
2022/06/13 (17:28:35) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/06/13 (18:15:48) | ===> btop++ v.1.2.7
2022/06/13 (18:15:48) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/06/13 (18:15:50) | WARNING: Failed to join _runner thread on exit!

2022/06/14 (12:33:31) | ===> btop++ v.1.2.7
2022/06/14 (12:33:31) | WARNING: Failed to join _runner thread on exit!

2022/06/14 (12:36:23) | ===> btop++ v.1.2.7
2022/06/14 (12:36:23) | WARNING: Failed to join _runner thread on exit!

2022/06/14 (16:39:58) | ===> btop++ v.1.2.7
2022/06/14 (16:39:58) | WARNING: Failed to join _runner thread on exit!

2022/06/14 (16:40:05) | ===> btop++ v.1.2.7
2022/06/14 (16:40:05) | WARNING: Failed to join _runner thread on exit!

2022/06/14 (18:06:52) | ===> btop++ v.1.2.7
2022/06/14 (18:06:52) | WARNING: Failed to join _runner thread on exit!

2022/06/14 (18:08:09) | ===> btop++ v.1.2.7
2022/06/14 (18:08:09) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (14:22:00) | ===> btop++ v.1.2.7
2022/06/15 (14:22:00) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (14:25:01) | ===> btop++ v.1.2.7
2022/06/15 (14:25:01) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (15:31:02) | ===> btop++ v.1.2.7
2022/06/15 (15:31:02) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (15:31:07) | ===> btop++ v.1.2.7
2022/06/15 (15:31:07) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (15:33:49) | ===> btop++ v.1.2.7
2022/06/15 (15:33:49) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (15:34:40) | ===> btop++ v.1.2.7
2022/06/15 (15:34:40) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (15:39:23) | ===> btop++ v.1.2.7
2022/06/15 (15:39:23) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (15:53:36) | ===> btop++ v.1.2.7
2022/06/15 (15:53:36) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (20:37:23) | ===> btop++ v.1.2.7
2022/06/15 (20:37:23) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (20:43:44) | ===> btop++ v.1.2.7
2022/06/15 (20:43:44) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (21:10:26) | ===> btop++ v.1.2.7
2022/06/15 (21:10:26) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (21:12:10) | ===> btop++ v.1.2.7
2022/06/15 (21:12:10) | WARNING: Failed to join _runner thread on exit!

2022/06/16 (06:29:38) | ===> btop++ v.1.2.7
2022/06/16 (06:29:38) | WARNING: Failed to join _runner thread on exit!

2022/06/16 (08:53:19) | ===> btop++ v.1.2.7
2022/06/16 (08:53:19) | WARNING: Failed to join _runner thread on exit!

2022/06/16 (13:01:13) | ===> btop++ v.1.2.7
2022/06/16 (13:01:13) | WARNING: Failed to join _runner thread on exit!

2022/06/16 (13:01:26) | ===> btop++ v.1.2.7
2022/06/16 (13:01:26) | WARNING: Failed to join _runner thread on exit!

2022/06/16 (14:44:04) | ===> btop++ v.1.2.7
2022/06/16 (14:44:04) | WARNING: Failed to join _runner thread on exit!

2022/06/16 (21:52:26) | ===> btop++ v.1.2.7
2022/06/16 (21:52:26) | WARNING: Failed to join _runner thread on exit!

2022/06/16 (21:55:57) | ===> btop++ v.1.2.7
2022/06/16 (21:55:57) | WARNING: Failed to join _runner thread on exit!

2022/06/17 (16:08:38) | ===> btop++ v.1.2.7
2022/06/17 (16:08:38) | WARNING: Failed to join _runner thread on exit!

2022/06/17 (16:10:10) | ===> btop++ v.1.2.7
2022/06/17 (16:10:10) | WARNING: Failed to join _runner thread on exit!

2022/06/17 (22:48:28) | ===> btop++ v.1.2.7
2022/06/17 (22:48:28) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/17 (22:48:35) | ===> btop++ v.1.2.7
2022/06/17 (22:48:35) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/06/22 (07:21:26) | ===> btop++ v.1.2.7
2022/06/22 (07:21:26) | WARNING: Failed to join _runner thread on exit!

2022/06/22 (16:03:54) | ===> btop++ v.1.2.7
2022/06/22 (16:03:54) | WARNING: Failed to join _runner thread on exit!

2022/06/22 (19:56:18) | ===> btop++ v.1.2.7
2022/06/22 (19:56:18) | WARNING: Failed to join _runner thread on exit!

2022/06/24 (03:24:38) | ===> btop++ v.1.2.7
2022/06/24 (03:24:38) | WARNING: Failed to join _runner thread on exit!

2022/06/26 (08:49:44) | ===> btop++ v.1.2.7
2022/06/26 (08:49:44) | WARNING: Failed to join _runner thread on exit!

2022/06/26 (08:49:48) | ===> btop++ v.1.2.7
2022/06/26 (08:49:48) | WARNING: Failed to join _runner thread on exit!

2022/06/26 (15:19:10) | ===> btop++ v.1.2.7
2022/06/26 (15:19:10) | WARNING: Failed to join _runner thread on exit!

2022/06/26 (16:44:10) | ===> btop++ v.1.2.7
2022/06/26 (16:44:10) | WARNING: Failed to join _runner thread on exit!

2022/06/26 (16:47:47) | ===> btop++ v.1.2.7
2022/06/26 (16:47:47) | WARNING: Failed to join _runner thread on exit!

2022/06/26 (16:54:10) | ===> btop++ v.1.2.7
2022/06/26 (16:54:10) | WARNING: Failed to join _runner thread on exit!

2022/06/26 (17:05:39) | ===> btop++ v.1.2.7
2022/06/26 (17:05:39) | WARNING: Failed to join _runner thread on exit!

2022/06/26 (17:11:27) | ===> btop++ v.1.2.7
2022/06/26 (17:11:27) | WARNING: Failed to join _runner thread on exit!

2022/06/27 (10:50:17) | ===> btop++ v.1.2.7
2022/06/27 (10:50:17) | WARNING: Failed to join _runner thread on exit!

2022/06/27 (10:56:51) | ===> btop++ v.1.2.7
2022/06/27 (10:56:51) | WARNING: Failed to join _runner thread on exit!
